_source,job_title,job_level,job_dimension,skills_filtered,job_skills,salary_min,salary_max,salary_mid
Consulting,Toyota Service Advisor / Consultant $65k - $100k,Mid senior,Retail & Service,"['customer service', 'communication', 'team player', 'conflict resolution', 'ability to learn', 'professionalism', 'organization', 'vehicle', 'vehicle delivery', 'vacation time', '401k plan', 'paid training']","Customer Service, Communication skills, Team player, Conflict resolution, Ability to learn, Friendly personality, Professionalism, Organization, Repair order processing, Multipoint inspection, Vehicle knowledge, Service history review, Warranty claim processing, Vehicle delivery, Manufacturer training, Salary range: $65k$100k, Medical Dental and Vision Plans, Vacation Time, 401k Plan, Paid training, Vehicle discounts",65000.0,100000.0,82500.0
Consulting,Truck Service Advisor I,Mid senior,Teamwork,"['truck maintenance', 'customer service', 'sales', 'work order management', 'parts sourcing', 'inventory management', 'communication', 'teamwork', 'high school diploma or ged', 'ability to work flexible hours', 'valid drivers license', 'equal opportunity employer']","Truck maintenance, Customer service, Sales, Work order management, Parts sourcing, Inventory management, Communication, Teamwork, High school diploma or GED, Basic computer skills, Ability to work flexible hours, Valid driver's license, Pay range: $16.00  $18.00 per hour, Equal opportunity employer",37440.0,37440.0,37440.0
Consulting,Admin/Research Coordinator (Healthcare Consulting Firm) - $45k,Associate,MS Office,"['administrative support', 'internet research', 'market research', 'data entry', 'data analysis', 'research', 'word processing', 'excel', 'powerpoint', 'detailoriented', 'problem solving']","Administrative support, Database upkeep and analysis, Contracts coordination, Internet research, Market research, Data entry, Data analysis, Research, Word processing, Excel, PowerPoint, Adobe, Strong writing and grammar skills, Excellent organizational skills, Detailoriented, Degree in healthcare (preferred), 2+ years of office support or client service experience, Businesstobusiness services experience (preferred), Problemsolving skills, Deadlinedriven",45000.0,45000.0,45000.0
Consulting,Service Advisor,Mid senior,Retail & Service,"['automotive', 'customer service', 'fastpaced work environment']","Automotive Experience, Customer Service Skills, Service Advisor Role, Full UK License, Ambitious and Motivated Mindset, Salary of £28000  £30000, Achievable Bonus, Excellent Training, Career Progression Opportunities, CV Submission for Application, Dynamic Team Environment, Fastpaced Work Environment",30000.0,30000.0,30000.0
Consulting,Customer Service Advisor,Mid senior,Attention to Detail,"['logistics', 'customer service', 'communication', 'administration', 'policies', 'procedures', 'documentation', 'relationship building', 'process management', 'positive attitude', 'attention to detail', 'prioritization', 'multitasking', 'teamwork', 'phone', 'it', 'microsoft word', 'microsoft excel', 'bank holidays', 'training', 'pension scheme']","Logistics, Customer Service, Load Lists, Geographical Location, Communication, Customer Liaison, Administration, Policies, Procedures, Documentation, Relationship Building, Process Management, Positive Attitude, Delivery Schedules, Production Lists, Remedial Actions, Attention to Detail, Handwriting, Note Taking, Geographical Knowledge, Prioritization, Multitasking, SelfDriven, Teamwork, Deadline Compliance, Phone Skills, IT Experience, Microsoft Word, Microsoft Excel, Sociable Work Hours, Progression Opportunities, Bank Holidays, Christmas Break, Salary Range: £21k£23k, Mental Health Helpline, Training, Pension Scheme",23000.0,23000.0,23000.0
Consulting,"EDGE Program, Technical Sales and Consulting",Associate,MS Office,"['sales', 'technology consulting', 'excel', 'communication', 'customer focus', 'problem solving', 'accountability', 'bachelors degree', 'equal opportunity employer']","Technical Sales & Consulting, Sales, Digital Account Management, Territory Account Management, Technology Consulting, Excel, Communication, Customer Focus, ProblemSolving, Commitment to Results, Accountability, Bachelor's Degree, Minimum Cumulative GPA of 2.75, Legal Authorization to Work in the US, Previous Rockwell Automation or Partner Network Experience, Previous Manufacturing or CustomerFacing Role Experience, Bachelor's/Master's in Industrial Engineering Supply Chain Management Electrical Engineering Mechanical Engineering or Business Administration, Diverse and Inclusive Workplace, Base Salary Compensation from $74000$76000/annual, Equal Opportunity Employer",76000.0,76000.0,76000.0
Consulting,Automotive Sale Consultant (Pre-Owned),Mid senior,Retail Operations,"['consultative sales', 'retail', 'outgoing', 'willingness to learn', 'ownership', 'paid vacation']","Consultative sales, Retail experience, Outgoing, Energetic, Passionate, Transparent, High road, Willingness to learn, Ownership, Celebration of small successes, Annual salary: $60000$90000, Base salary guarantee with uncapped commission, Health Dental Vision Insurance, 401k with 4% company match, Paid vacation, Leadership and personal development programs, Casual dress",90000.0,90000.0,90000.0
Consulting,"Employment Consultant, START Customer Care Program",Mid senior,MS Office,"['coaching', 'case management', 'outreach', 'marketing', 'client services', 'career counseling', 'microsoft office', 'salesforce', 'zoom', 'ms teams', 'webex', 'postsecondary education', 'adult education', 'communication', 'case management', 'customer service', 'hybrid work schedule']","ACCES Employment, Computer training, Job search support, Coaching, Case management, Outreach, Marketing, Client Services, Career counseling, Microsoft Office, Salesforce, Brazen, Zoom, MS Teams, Webex, Postsecondary education, Career and work counseling, Adult Education, English verbal and written communication, Interpersonal skills, Case management, Customer service, Presentation and facilitation skills, Teaching English as a Second Language Certificate, Fluency in a second language, Flexibility to work occasional evenings and weekend hours, Hybrid work schedule, Unionized, 1Year Contract with Possibility of Extension, Salary: $56646.25 per annum, Equity diversity and inclusion, Accessibility and Accommodation",56646.25,56646.25,56646.25
Consulting,"AFLCMC - Business Analyst (Dayton, OH)",Mid senior,Formal Qualifications & Degrees,"['business analyst', 'relational databases', 'travel', 'equal opportunity employer']","Business Analyst, DoD financial management processes, Government financial and accounting systems, Acquisition and budgeting processes, Relational databases, Financial and technical consulting, Government finance expertise, Financial data structuring, Reconciliation between systems, Financial forecasts and accounting data review, Government financial office support, Cost and Requirement System (CCaR™) experience, Bachelor's degree in business management engineering computer science mathematics economics, 7+ years of government acquisition finance financial management program management or related experience, 10+ years of equivalent technical training or work/military experience, Extended periods of sitting typing hearing seeing and speaking, Prolonged computer work and typing, Accurate communication, 15 lbs lifting/carrying, Office mobility, Federal background investigation, Travel, Varying work schedule, Additional hours and weekend work, $80000  $120000 annual salary, Employerpaid health dental vision disability AD&D and life insurance, Elective plans including flexible spending accounts voluntary life insurance and supplemental insurance, 11 paid holidays, 3 weeks PTO accrual per year, 401(k) safe harbor contribution, Employee referral bonuses, Equal Opportunity Employer",120000.0,120000.0,120000.0
Consulting,Consultant in Adult Psychiatry *with a £20K Support Package*,Mid senior,Leadership,"['clinical leadership', 'mental health', 'psychiatry', 'quality improvement', 'audit', 'service development', 'clinical governance', 'leadership', 'flexibility', 'teaching', 'research']","Clinical leadership, Acute care, Mental health, Crisis care, Psychiatry, Inpatient care, MDT collaboration, Quality improvement, Audit, Service development, Clinical governance, Open review of practice, Team working, Leadership, Flexibility, Teaching, Research",20000.0,20000.0,20000.0
