job_cluster,skills_filtered,job_level,job_title
Communication,"['consultation', 'supervision', 'program development', 'data collection', 'quality improvement', 'selfmotivation', 'minimal supervision', 'physical stamina', 'computer literacy', 'communication', 'covid19 vaccination']",Mid senior,Program Consultant
Project Management,"['program management', 'project management', 'development', 'organizational development', 'education', 'needs analysis', 'metrics', 'consulting', 'advisory services', 'coaching']",Mid senior,Senior Consultant Learning & Talent Development
Data & Analytics,"['agile', 'employment services', 'case management', 'counselling', 'assessment', 'stakeholder relationship management', 'organization', 'research', 'data analysis', 'communication', 'customer service', 'flexibility', 'networking', 'diversity and inclusion', 'equity', 'respect']",Mid senior,Employment Consultant
Formal Qualifications & Degrees,"['financial planning', 'investment management', 'wealth management', 'emoney', 'asana', 'microsoft office', 'cfp', 'series 65', 'bachelors degree', 'mba', 'detailoriented', 'teamwork']",Associate,Associate Advisor - Financial Planning
Adaptability,"['bilingual', 'sales', 'customer service', 'customer onboarding', 'product demonstrations', 'problem solving', 'time management', 'flexibility', 'physical stamina', 'adaptability', 'team collaboration', 'communication', 'continuous learning', 'training', 'high school diploma ged', 'benefits package', 'commission', 'bonus']",Mid senior,"Xfinity Retail Sales Consultant - Bilingual, Spanish"
Analytical Thinking,"['data integration', 'data modeling', 'excel', 'reporting', 'communication', 'project management', 'consulting', 'business analysis', 'business requirements gathering', 'software development', 'problem solving', 'analytical skills', 'problem solving', 'communication', 'teamwork']",Associate,Principal Consultant - Anaplan Developer-ITO073503
Analytical Thinking,"['transaction advisory', 'due diligence', 'financial analysis', 'risk assessment', 'valuation', 'project management', 'analytical skills', 'problem solving', 'financial planning', 'risk management', 'cash flow analysis', 'forecasting', 'ma', 'financial modeling', 'accounting', 'finance', 'business']",Associate,Executive Advisor - Transaction Advisory
Negotiation,"['sales', 'marketing', 'zoom', 'webex', 'client relationship management crm', 'spanish', 'active listening', 'communication', 'negotiation', 'prioritization', 'flexibility', 'teamwork']",Mid senior,Neighborhood Engagement Consultant
Project Management,"['marketing', 'project management', 'communication', 'event planning', 'communication', 'critical thinking', 'problem solving', 'bilingual englishspanish', 'organization', 'travel', 'compensation', 'benefits', 'lead generation']",Mid senior,Membership Growth Consultant (Bilingual)
Analytical Thinking,"['transaction advisory', 'due diligence', 'investment analysis', 'economic analysis', 'modeling', 'forecasting', 'data analytics', 'financial modeling', 'optimization', 'sustainability', 'climate change', 'energy transition', 'renewable energy', 'data analysis tools', 'power bi', 'tableau', 'advanced excel', 'programming languages', 'sql', 'python', 'r', 'matlab', 'cfa', 'cpa', 'team collaboration', 'communication', 'analytical skills', 'problem solving', 'research', 'energy policy']",Associate,Energy Economist (Power Networks) - Transaction Advisory
