job_cluster,skills_filtered,job_level,job_title
Accounting,"['accounting', 'auditing', 'gaap', 'tax laws', 'financial operations', 'compliance', 'risk management', 'controls', 'data analysis', 'communication', 'collaboration', 'problem solving', 'critical thinking', 'attention to detail', 'time management', 'organization', 'cpa', 'cia', 'cfe', 'cisa', 'healthcare', 'higher education']",Mid senior,Internal Auditor
Accounting Operations,"['accounting principles', 'auditing standards', 'financial statements', 'internal controls', 'cpa license', 'staff management', 'performance reviews', 'public accounting', 'management letters', 'schedules']",Mid senior,Audit Manager
Financial Analysis,"['financial services', 'audit', 'financial statements', 'financial analysis', 'financial projections', 'accounting policies', 'internal controls', 'financial reporting', 'tax filings', 'business process management', 'microsoft office', 'accounting software', 'cpa', 'leadership', 'communication', 'teamwork', 'problem solving', 'detail oriented']",Mid senior,Assistant Controller
Communication,"['quality audits', 'inspection', 'communication', 'monitoring', 'ged', 'reading', 'communication', 'organization', 'physical strength', 'fulltime', 'pto', 'health benefits', 'flexible spending account', 'health savings account']",Mid senior,Quality Auditor/Watch & Protect Technician
MS Office,"['financial planning', 'investment management', 'wealth management', 'microsoft office', 'cfp', 'series 65', 'mba', 'detail oriented', 'teamwork']",Associate,Associate Advisor - Financial Planning
Customer Service & Sales,"['excel', 'customer service', 'cash handling']",Mid senior,"Night Auditor, Southland Casino"
Auditing,"['auditing', 'data analysis', 'compliance', 'data gathering', 'documentation', 'communication', 'teamwork', 'certification', 'analytical skills', 'research', 'excel', 'word', 'risk assessment', 'interviewing', 'writing', 'contract compliance', 'gaap', 'coso', 'sampling', 'office equipment', 'bending', 'driving']",Mid senior,Auditor I
Financial Analysis,"['internal audit', 'internal control', 'risk assessment', 'recruiting', 'budgeting', 'remediation', 'validation', 'reporting', 'program management', 'continuous monitoring', 'risk assessment', 'finance', 'accounting', 'audit', 'financial analysis', 'accounting', 'project management', 'multitasking', 'followthrough', 'communication', 'communication', 'communication', 'excel', 'powerpoint', 'business intelligence bi']",Associate,"Internal Audit - Assistant Business Unit Manager, Associate - Salt Lake City"
MS Office,"['risk control', 'outlook', 'excel', 'powerpoint', 'word', 'data analysis', 'pivot tables', 'graphs', 'charts', 'technical reports', 'research', 'customer satisfaction', 'communication', 'confidentiality', 'time management', 'deadlines', 'interpersonal communication', 'english fluency']",Associate,Risk Control Technical Assistant
Business Development,"['financial counseling', 'personal finance', 'money management', 'budgeting', 'financial planning', 'investment', 'retirement planning', 'estate planning', 'taxes', 'credit', 'debt', 'communication', 'counseling', 'public speaking', 'training', 'supervision', 'quality improvement', 'english', 'associate degree', 'cfp', 'chfc', 'dod protocol', 'virtual counseling', 'secure online chat', 'videobased communications', 'secure video teleconference']",Mid senior,"Personal Financial Counselor- Malmstrom AFB, MT"
